state,shape,Number of Shapes Per State
ri,egg,9
ri,diamond,5
ri,rectangle,5
ri,chevron,4
ri,cylinder,4
ri,changing,3
ri,cigar,3
ri,oval,3
ri,teardrop,3
ri,cone,2
ri,flash,2
sc,light,255
sc,other,124
sc,circle,110
sc,triangle,84
sc,fireball,77
sc,sphere,65
sc,disk,48
sc,oval,40
sc,formation,39
sc,changing,31
sc,cigar,25
sc,flash,22
sc,cylinder,13
sc,rectangle,12
sc,diamond,10
sc,chevron,8
sc,teardrop,8
sc,cone,4
sc,cross,2
sc,egg,2
sd,light,47
sd,other,35
sd,triangle,20
sd,circle,12
sd,fireball,11
sd,oval,10
sd,disk,9
sd,formation,7
sd,rectangle,4
sd,changing,3
sd,cigar,3
sd,flash,3
sd,sphere,3
sd,chevron,2
sd,teardrop,2
sd,cylinder,1
sd,diamond,1
sd,egg,1
tn,light,198
tn,other,162
tn,triangle,120
tn,circle,99
tn,fireball,84
tn,sphere,73
tn,disk,72
tn,oval,60
tn,cigar,39
tn,cylinder,39
tn,formation,27
tn,changing,22
tn,diamond,19
tn,rectangle,19
tn,chevron,15
tn,flash,14
tn,egg,12
tn,teardrop,8
tn,cone,4
tn,cross,3
tx,light,702
tx,other,537
tx,triangle,356
tx,circle,284
tx,disk,217
tx,sphere,211
tx,fireball,202
tx,oval,192
tx,cigar,103
tx,formation,100
tx,changing,95
tx,rectangle,67
tx,cylinder,59
tx,flash,56
tx,chevron,54
tx,diamond,47
tx,teardrop,36
tx,egg,32
tx,cone,9
tx,cross,8
ut,light,131
ut,other,78
ut,triangle,66
ut,circle,60
ut,disk,50
ut,fireball,48
ut,sphere,44
ut,formation,21
ut,oval,18
ut,changing,17
ut,flash,13
ut,cigar,10
ut,diamond,10
ut,chevron,9
ut,rectangle,9
ut,egg,7
ut,teardrop,7
ut,cone,4
ut,cylinder,4
ut,cross,2
va,light,225
va,other,190
va,triangle,133
va,circle,131
va,sphere,101
va,fireball,87
va,disk,81
va,oval,57
va,cigar,39
va,formation,35
va,changing,33
va,flash,23
va,diamond,20
va,chevron,18
va,rectangle,18
va,cylinder,17
va,egg,12
va,teardrop,9
va,cone,6
va,cross,3
vt,light,59
vt,other,31
vt,fireball,24
vt,circle,23
vt,triangle,23
vt,sphere,21
vt,oval,13
vt,disk,12
vt,formation,11
vt,cigar,6
vt,cylinder,6
vt,changing,5
vt,rectangle,5
vt,flash,4
vt,cross,3
vt,cone,2
vt,diamond,2
vt,chevron,1
vt,egg,1
vt,teardrop,1
wa,light,865
wa,other,544
wa,fireball,351
wa,triangle,337
wa,circle,324
wa,sphere,267
wa,disk,188
wa,oval,175
wa,formation,119
wa,changing,87
wa,flash,74
wa,cigar,63
wa,rectangle,58
wa,cylinder,51
wa,diamond,49
wa,chevron,44
wa,egg,37
wa,teardrop,29
wa,cone,17
wa,cross,7
wi,light,272
wi,other,172
wi,circle,126
wi,fireball,119
wi,triangle,111
wi,sphere,76
wi,disk,61
wi,formation,60
wi,oval,42
wi,cigar,32
wi,diamond,24
wi,flash,18
wi,changing,17
wi,cylinder,14
wi,rectangle,14
wi,teardrop,14
wi,egg,8
wi,chevron,7
wi,cone,4
wi,cross,3
wv,light,94
wv,other,68
wv,triangle,54
wv,circle,45
wv,disk,26
wv,fireball,24
wv,oval,24
wv,sphere,22
wv,cylinder,18
wv,formation,13
wv,cigar,12
wv,changing,10
wv,chevron,5
wv,rectangle,5
wv,egg,4
wv,diamond,3
wv,flash,3
wv,teardrop,3
wv,cross,2
wv,cone,1
wy,light,47
wy,other,25
wy,circle,15
wy,fireball,14
wy,triangle,14
wy,sphere,13
wy,disk,8
wy,oval,8
wy,changing,4
wy,formation,4
wy,chevron,3
wy,cylinder,3
wy,egg,3
wy,cigar,2
wy,rectangle,2
wy,diamond,1
wy,flash,1
